Time (Uganda),Battery,Humidity,Motion,Temperature
2025-10-04 10:43:32,3.072,68.9,1179,24.9
2025-10-04 10:53:32,3.073,67.1,1179,24.93
2025-10-04 11:03:32,3.071,67.6,1179,25
2025-10-04 11:13:32,3.072,68,1179,25.05
2025-10-04 11:23:31,3.072,67.7,1179,25.09
2025-10-04 11:33:31,3.072,67.8,1179,25.13
2025-10-04 11:36:33,3.071,67.7,1180,25.17
2025-10-04 11:43:31,3.071,67.4,1188,25.14
2025-10-04 11:52:01,3.071,67.1,1189,25.1
2025-10-04 11:53:31,3.071,67.4,1200,25.12
2025-10-04 11:55:02,3.071,67.4,1208,25.14
2025-10-04 12:03:31,3.072,67.4,1220,25.21
2025-10-04 12:13:31,3.073,65.4,1220,25.27
2025-10-04 12:23:30,3.072,64.9,1220,25.34
2025-10-04 12:33:11,3.073,64.9,1229,25.42
2025-10-04 12:33:30,3.073,64.9,1231,25.42
2025-10-04 12:41:09,3.071,63.8,1232,25.47
2025-10-04 12:43:30,3.072,63.9,1232,25.5
2025-10-04 12:53:30,3.072,64.8,1232,25.54
2025-10-04 13:03:30,3.072,65.1,1232,25.6
2025-10-04 13:13:29,3.074,63.4,1239,25.65
2025-10-04 13:20:56,3.072,63.2,1240,25.72
2025-10-04 13:22:59,3.072,63.4,1243,25.74
2025-10-04 13:23:29,3.072,64.3,1245,25.72
2025-10-04 13:26:13,3.073,64.2,1248,25.75
2025-10-04 13:28:28,3.072,65.3,1258,25.74
2025-10-04 13:30:31,3.071,65.7,1273,25.74
2025-10-04 13:32:33,3.072,64.7,1294,25.74
2025-10-04 13:33:29,3.074,64.5,1300,25.78
2025-10-04 13:34:36,3.072,65,1316,25.76
2025-10-04 13:38:22,3.072,65.2,1318,25.78
2025-10-04 13:43:29,3.073,65,1318,25.81
2025-10-04 13:50:01,3.073,66.1,1319,25.82
2025-10-04 13:53:29,3.072,66.2,1319,25.84
2025-10-04 13:54:24,3.071,65.9,1320,25.85
